month;dist;m.erosion;sedimentation;n.erosion;soil.m.month;rep
JL-2017;B(0m);0,67;4,02;-3,35;4,69;a
JL-2017;B(0m);2,01;1,34;0,67;3,35;b
JL-2017;B(0m);0,67;5,36;-4,69;6,03;c
JL-2017;D(05m);1,34;0;1,34;1,34;a
JL-2017;D(05m);2,01;0;2,01;2,01;b
JL-2017;D(05m);1,34;0;1,34;1,34;c
JL-2017;D(1m);1,34;1,34;0;2,68;a
JL-2017;D(1m);0,67;5,36;-4,69;6,03;b
JL-2017;D(1m);0,67;4,02;-3,35;4,69;c
JL-2017;D(7m);0;2,68;-2,68;2,68;a
JL-2017;D(7m);0;3,35;-3,35;3,35;b
JL-2017;D(7m);0;4,02;-4,02;4,02;c
JL-2017;D(14m);3,68;0;3,68;3,68;a
JL-2017;D(14m);4,02;0;4,02;4,02;b
JL-2017;D(14m);1,34;0;1,34;1,34;c
JL-2017;D(21m);0;1,34;-1,34;1,34;a
JL-2017;D(21m);2,01;0;2,01;2,01;b
JL-2017;D(21m);2,68;0;2,68;2,68;c
JL-2017;D(28m);0;2,68;-2,68;2,68;a
JL-2017;D(28m);0;1,34;-1,34;1,34;b
JL-2017;D(28m);0;2,01;-2,01;2,01;c
JL-2017;ctrl.Rod;2,34;0;2,34;2,34;a
JL-2017;ctrl.Rod;3,35;0;3,35;3,35;b
JL-2017;ctrl.Rod;4,02;0,67;3,35;4,69;c
AG-2017;B(0m);2,68;3,35;-0,67;6,03;a
AG-2017;B(0m);2,68;2,68;0;5,36;b
AG-2017;B(0m);1,34;4,02;-2,68;5,36;c
AG-2017;D(05m);2,01;0,67;1,34;2,68;a
AG-2017;D(05m);2,68;0;2,68;2,68;b
AG-2017;D(05m);0;1,34;-1,34;1,34;c
AG-2017;D(1m);4,02;0;4,02;4,02;a
AG-2017;D(1m);0;3,35;-3,35;3,35;b
AG-2017;D(1m);2,68;0;2,68;2,68;c
AG-2017;D(7m);4,02;1,34;2,68;5,36;a
AG-2017;D(7m);2,68;4,02;-1,34;6,7;b
AG-2017;D(7m);4,02;1,34;2,68;5,36;c
AG-2017;D(14m);4,69;0,67;4,02;5,36;a
AG-2017;D(14m);3,35;4,02;-0,67;7,37;b
AG-2017;D(14m);5,36;1,34;4,02;6,7;c
AG-2017;D(21m);4,02;2,68;1,34;6,7;a
AG-2017;D(21m);3,35;4,02;-0,67;7,37;b
AG-2017;D(21m);2,68;1,34;1,34;4,02;c
AG-2017;D(28m);1,34;2,01;-0,67;3,35;a
AG-2017;D(28m);3,35;1,34;2,01;4,69;b
AG-2017;D(28m);2,68;0,67;2,01;3,35;c
AG-2017;ctrl.Rod;2,95;1,34;1,61;4,29;a
AG-2017;ctrl.Rod;4,02;1,34;2,68;5,36;b
AG-2017;ctrl.Rod;6,7;1,34;5,36;8,04;c
S-2017;B(0m);4,02;4,02;0;8,04;a
S-2017;B(0m);1,35;1,34;0,01;2,69;b
S-2017;B(0m);3,35;0;3,35;3,35;c
S-2017;D(05m);1,34;4,04;-2,7;5,38;a
S-2017;D(05m);4,02;2,68;1,34;6,7;b
S-2017;D(05m);2,01;3,35;-1,34;5,36;c
S-2017;D(1m);3,35;1,34;2,01;4,69;a
S-2017;D(1m);0,67;5,36;-4,69;6,03;b
S-2017;D(1m);2,01;3,35;-1,34;5,36;c
S-2017;D(7m);4,02;2,68;1,34;6,7;a
S-2017;D(7m);2,01;5,36;-3,35;7,37;b
S-2017;D(7m);4,02;2,68;1,34;6,7;c
S-2017;D(14m);4,69;2,68;2,01;7,37;a
S-2017;D(14m);3,35;6,03;-2,68;9,38;b
S-2017;D(14m);4,02;4,02;0;8,04;c
S-2017;D(21m);5,36;3,35;2,01;8,71;a
S-2017;D(21m);4,02;4,02;0;8,04;b
S-2017;D(21m);5;2,68;2,32;7,68;c
S-2017;D(28m);2,01;0,67;1,34;2,68;a
S-2017;D(28m);1,34;1,34;0;2,68;b
S-2017;D(28m);2,68;0,67;2,01;3,35;c
S-2017;ctrl.Rod;5,36;3,35;2,01;8,71;a
S-2017;ctrl.Rod;4,02;3,35;0,67;7,37;b
S-2017;ctrl.Rod;4,69;5,36;-0,67;10,05;c
O-2017;B(0m);4,02;4,69;-0,67;8,71;a
O-2017;B(0m);4,63;4,02;0,61;8,65;b
O-2017;B(0m);4,02;4,02;0;8,04;c
O-2017;D(05m);1,34;5,36;-4,02;6,7;a
O-2017;D(05m);0,67;4,69;-4,02;5,36;b
O-2017;D(05m);2,01;5,36;-3,35;7,37;c
O-2017;D(1m);1,34;1,34;0;2,68;a
O-2017;D(1m);0,67;2,01;-1,34;2,68;b
O-2017;D(1m);1,34;2,68;-1,34;4,02;c
O-2017;D(7m);4,02;0,64;3,38;4,66;a
O-2017;D(7m);2,68;1,34;1,34;4,02;b
O-2017;D(7m);4,69;1,34;3,35;6,03;c
O-2017;D(14m);4,02;2,68;1,34;6,7;a
O-2017;D(14m);3,36;2,01;1,35;5,37;b
O-2017;D(14m);5,35;2,68;2,67;8,03;c
O-2017;D(21m);4,69;2,01;2,68;6,7;a
O-2017;D(21m);6,7;3,35;3,35;10,05;b
O-2017;D(21m);5,36;2,01;3,35;7,37;c
O-2017;D(28m);1,34;0,67;0,67;2,01;a
O-2017;D(28m);2,68;0;2,68;2,68;b
O-2017;D(28m);2,01;1,34;0,67;3,35;c
O-2017;ctrl.Rod;4,02;3,35;0,67;7,37;a
O-2017;ctrl.Rod;5,36;4,69;0,67;10,05;b
O-2017;ctrl.Rod;6,03;2,68;3,35;8,71;c
N-2017;B(0m);8,04;4,02;4,02;12,06;a
N-2017;B(0m);6,68;3,37;3,31;10,05;b
N-2017;B(0m);6,7;2,68;4,02;9,38;c
N-2017;D(05m);0,67;4,04;-3,37;4,71;a
N-2017;D(05m);2,01;5,36;-3,35;7,37;b
N-2017;D(05m);1,34;4,02;-2,68;5,36;c
N-2017;D(1m);5,36;0;5,36;5,36;a
N-2017;D(1m);4,69;1,34;3,35;6,03;b
N-2017;D(1m);4,02;0;4,02;4,02;c
N-2017;D(7m);8;1,34;6,66;9,34;a
N-2017;D(7m);6,03;0,67;5,36;6,7;b
N-2017;D(7m);7,37;0;7,37;7,37;c
N-2017;D(14m);8,04;0;8,04;8,04;a
N-2017;D(14m);5,36;1,34;4,02;6,7;b
N-2017;D(14m);5,36;2,01;3,35;7,37;c
N-2017;D(21m);6,7;0,67;6,03;7,37;a
N-2017;D(21m);4,69;4,02;0,67;8,71;b
N-2017;D(21m);5,36;3,35;2,01;8,71;c
N-2017;D(28m);2,68;1,34;1,34;4,02;a
N-2017;D(28m);2,68;0,67;2,01;3,35;b
N-2017;D(28m);3,35;2,01;1,34;5,36;c
N-2017;ctrl.Rod;6,7;1,34;5,36;8,04;a
N-2017;ctrl.Rod;5,36;2,01;3,35;7,37;b
N-2017;ctrl.Rod;4,69;1,35;3,34;6,04;c
D-2017;B(0m);5,36;4,67;0,69;10,03;a
D-2017;B(0m);4,1;4,02;0,08;8,12;b
D-2017;B(0m);4,02;4,02;0;8,04;c
D-2017;D(05m);4,02;5,36;-1,34;9,38;a
D-2017;D(05m);3,35;6,7;-3,35;10,05;b
D-2017;D(05m);4,02;6,7;-2,68;10,72;c
D-2017;D(1m);4,02;2,68;1,34;6,7;a
D-2017;D(1m);2,01;4,02;-2,01;6,03;b
D-2017;D(1m);2,68;1,34;1,34;4,02;c
D-2017;D(7m);10,72;0;10,72;10,72;a
D-2017;D(7m);8,04;0;8,04;8,04;b
D-2017;D(7m);9,38;0;9,38;9,38;c
D-2017;D(14m);10,72;1,34;9,38;12,06;a
D-2017;D(14m);8,46;2,01;6,45;10,47;b
D-2017;D(14m);10,72;2,01;8,71;12,73;c
D-2017;D(21m);6,7;0,67;6,03;7,37;a
D-2017;D(21m);8,04;1,34;6,7;9,38;b
D-2017;D(21m);5,36;1,34;4,02;6,7;c
D-2017;D(28m);4,02;0;4,02;4,02;a
D-2017;D(28m);5;0,67;4,33;5,67;b
D-2017;D(28m);4;0;4;4;c
D-2017;ctrl.Rod;9,38;2,01;7,37;11,39;a
D-2017;ctrl.Rod;9,38;1,34;8,04;10,72;b
D-2017;ctrl.Rod;6,7;3,35;3,35;10,05;c
E-2018;B(0m);0,67;2,68;-2,01;3,35;a
E-2018;B(0m);1,34;1,34;0;2,68;b
E-2018;B(0m);2,01;0;2,01;2,01;c
E-2018;D(05m);0;2,68;-2,68;2,68;a
E-2018;D(05m);0;1,34;-1,34;1,34;b
E-2018;D(05m);0;2,01;-2,01;2,01;c
E-2018;D(1m);0;1,34;-1,34;1,34;a
E-2018;D(1m);0;2,68;-2,68;2,68;b
E-2018;D(1m);0;1,34;-1,34;1,34;c
E-2018;D(7m);0,67;0;0,67;0,67;a
E-2018;D(7m);0,67;2,01;-1,34;2,68;b
E-2018;D(7m);0;3,35;-3,35;3,35;c
E-2018;D(14m);1,34;0,67;0,67;2,01;a
E-2018;D(14m);1,34;1,34;0;2,68;b
E-2018;D(14m);0;2,68;-2,68;2,68;c
E-2018;D(21m);1,34;0;1,34;1,34;a
E-2018;D(21m);0;2,68;-2,68;2,68;b
E-2018;D(21m);1,34;0;1,34;1,34;c
E-2018;D(28m);3,35;0;3,35;3,35;a
E-2018;D(28m);0;1,34;-1,34;1,34;b
E-2018;D(28m);2,68;0;2,68;2,68;c
E-2018;ctrl.Rod;1,34;1,34;0;2,68;a
E-2018;ctrl.Rod;0,67;2,68;-2,01;3,35;b
E-2018;ctrl.Rod;1,32;2,01;-0,69;3,33;c
F-2018;B(0m);0;1,34;-1,34;1,34;a
F-2018;B(0m);0;0,67;-0,67;0,67;b
F-2018;B(0m);0;1,34;-1,34;1,34;c
F-2018;D(05m);0;2,01;-2,01;2,01;a
F-2018;D(05m);0;2,68;-2,68;2,68;b
F-2018;D(05m);0;3,35;-3,35;3,35;c
F-2018;D(1m);0;0,67;-0,67;0,67;a
F-2018;D(1m);1,34;0,67;0,67;2,01;b
F-2018;D(1m);0;1,34;-1,34;1,34;c
F-2018;D(7m);0;1,34;-1,34;1,34;a
F-2018;D(7m);0,67;0,67;0;1,34;b
F-2018;D(7m);0;2,01;-2,01;2,01;c
F-2018;D(14m);1,34;0,67;0,67;2,01;a
F-2018;D(14m);0,67;2,01;-1,34;2,68;b
F-2018;D(14m);1,34;1,34;0;2,68;c
F-2018;D(21m);0;0,67;-0,67;0,67;a
F-2018;D(21m);0;3,35;-3,35;3,35;b
F-2018;D(21m);0;2,68;-2,68;2,68;c
F-2018;D(28m);0;2,01;-2,01;2,01;a
F-2018;D(28m);0;2,68;-2,68;2,68;b
F-2018;D(28m);0,67;0;0,67;0,67;c
F-2018;ctrl.Rod;1,34;1,34;0;2,68;a
F-2018;ctrl.Rod;1,34;0,67;0,67;2,01;b
F-2018;ctrl.Rod;0,67;2,01;-1,34;2,68;c
MR-2018;B(0m);1,34;0;1,34;1,34;a
MR-2018;B(0m);0,67;0,67;0;1,34;b
MR-2018;B(0m);1,34;0;1,34;1,34;c
MR-2018;D(05m);0;1,34;-1,34;1,34;a
MR-2018;D(05m);0;0,67;-0,67;0,67;b
MR-2018;D(05m);0;0,67;-0,67;0,67;c
MR-2018;D(1m);0;0,67;-0,67;0,67;a
MR-2018;D(1m);0;0;0;0;b
MR-2018;D(1m);0;0,67;-0,67;0,67;c
MR-2018;D(7m);0;1,34;-1,34;1,34;a
MR-2018;D(7m);0;0;0;0;b
MR-2018;D(7m);0;0,64;-0,64;0,64;c
MR-2018;D(14m);0;0,67;-0,67;0,67;a
MR-2018;D(14m);2,68;0;2,68;2,68;b
MR-2018;D(14m);1,34;0;1,34;1,34;c
MR-2018;D(21m);1,34;0;1,34;1,34;a
MR-2018;D(21m);0;1,34;-1,34;1,34;b
MR-2018;D(21m);0,67;0;0,67;0,67;c
MR-2018;D(28m);0;0;0;0;a
MR-2018;D(28m);0;0,67;-0,67;0,67;b
MR-2018;D(28m);0;0;0;0;c
MR-2018;ctrl.Rod;0,22;2,01;-1,79;2,23;a
MR-2018;ctrl.Rod;0,67;0,67;0;1,34;b
MR-2018;ctrl.Rod;0,67;0;0,67;0,67;c
AB-2018;B(0m);2,01;0,67;1,34;2,68;a
AB-2018;B(0m);1,34;1,34;0;2,68;b
AB-2018;B(0m);0;0;0;0;c
AB-2018;D(05m);1,34;1,34;0;2,68;a
AB-2018;D(05m);0;0,67;-0,67;0,67;b
AB-2018;D(05m);1,34;0,57;0,77;1,91;c
AB-2018;D(1m);1,34;0;1,34;1,34;a
AB-2018;D(1m);2,67;0;2,67;2,67;b
AB-2018;D(1m);2,68;0;2,68;2,68;c
AB-2018;D(7m);1,34;0,67;0,67;2,01;a
AB-2018;D(7m);1,34;0;1,34;1,34;b
AB-2018;D(7m);0,67;0;0,67;0,67;c
AB-2018;D(14m);1,34;2,01;-0,67;3,35;a
AB-2018;D(14m);2,67;0;2,67;2,67;b
AB-2018;D(14m);0,67;2,01;-1,34;2,68;c
AB-2018;D(21m);1,34;0;1,34;1,34;a
AB-2018;D(21m);2,67;0;2,67;2,67;b
AB-2018;D(21m);0;1,34;-1,34;1,34;c
AB-2018;D(28m);1,34;0,67;0,67;2,01;a
AB-2018;D(28m);2,67;2,68;-0,01;5,35;b
AB-2018;D(28m);0;0,67;-0,67;0,67;c
AB-2018;ctrl.Rod;2,56;0;2,56;2,56;a
AB-2018;ctrl.Rod;3,35;0;3,35;3,35;b
AB-2018;ctrl.Rod;2,68;0;2,68;2,68;c
MY-2018;B(0m);0;2,68;-2,68;2,68;a
MY-2018;B(0m);0;2,01;-2,01;2,01;b
MY-2018;B(0m);0;0;0;0;c
MY-2018;D(05m);0;1,34;-1,34;1,34;a
MY-2018;D(05m);0;2,68;-2,68;2,68;b
MY-2018;D(05m);0;2,01;-2,01;2,01;c
MY-2018;D(1m);3,35;0;3,35;3,35;a
MY-2018;D(1m);3,35;0;3,35;3,35;b
MY-2018;D(1m);1,34;0;1,34;1,34;c
MY-2018;D(7m);2,01;0;2,01;2,01;a
MY-2018;D(7m);2,67;0,67;2;3,34;b
MY-2018;D(7m);1,34;0;1,34;1,34;c
MY-2018;D(14m);1,34;2,01;-0,67;3,35;a
MY-2018;D(14m);2,67;0;2,67;2,67;b
MY-2018;D(14m);3,35;2,68;0,67;6,03;c
MY-2018;D(21m);2,68;0,67;2,01;3,35;a
MY-2018;D(21m);3,35;0;3,35;3,35;b
MY-2018;D(21m);2,68;0;2,68;2,68;c
MY-2018;D(28m);0,67;0,67;0;1,34;a
MY-2018;D(28m);3,35;1,34;2,01;4,69;b
MY-2018;D(28m);1,34;1,34;0;2,68;c
MY-2018;ctrl.Rod;3,43;0;3,43;3,43;a
MY-2018;ctrl.Rod;4,02;0;4,02;4,02;b
MY-2018;ctrl.Rod;3,43;0;3,43;3,43;c
JN-2018;B(0m);0;0,67;-0,67;0,67;a
JN-2018;B(0m);0;2,68;-2,68;2,68;b
JN-2018;B(0m);0;0,67;-0,67;0,67;c
JN-2018;D(05m);0;1,34;-1,34;1,34;a
JN-2018;D(05m);0,67;2,01;-1,34;2,68;b
JN-2018;D(05m);0;2,68;-2,68;2,68;c
JN-2018;D(1m);2,68;0,67;2,01;3,35;a
JN-2018;D(1m);3,35;0;3,35;3,35;b
JN-2018;D(1m);2,68;0;2,68;2,68;c
JN-2018;D(7m);2,01;0,67;1,34;2,68;a
JN-2018;D(7m);4,02;0;4,02;4,02;b
JN-2018;D(7m);3,35;0,67;2,68;4,02;c
JN-2018;D(14m);9,38;0;9,38;9,38;a
JN-2018;D(14m);5,36;0,67;4,69;6,03;b
JN-2018;D(14m);10,78;0;10,78;10,78;c
JN-2018;D(21m);1,34;0,67;0,67;2,01;a
JN-2018;D(21m);2,67;0,67;2;3,34;b
JN-2018;D(21m);1,34;1,34;0;2,68;c
JN-2018;D(28m);0;1,34;-1,34;1,34;a
JN-2018;D(28m);0,67;2,68;-2,01;3,35;b
JN-2018;D(28m);0;1,34;-1,34;1,34;c
JN-2018;ctrl.Rod;6,7;0;6,7;6,7;a
JN-2018;ctrl.Rod;8,04;0;8,04;8,04;b
JN-2018;ctrl.Rod;5,36;0;5,36;5,36;c
JL-2018;B(0m);1,34;2,68;-1,34;4,02;a
JL-2018;B(0m);2,68;0,67;2,01;3,35;b
JL-2018;B(0m);1,34;2,68;-1,34;4,02;c
JL-2018;D(05m);0;1,34;-1,34;1,34;a
JL-2018;D(05m);0,67;2,68;-2,01;3,35;b
JL-2018;D(05m);0;1,34;-1,34;1,34;c
JL-2018;D(1m);2,68;0;2,68;2,68;a
JL-2018;D(1m);4,02;0;4,02;4,02;b
JL-2018;D(1m);1,34;0;1,34;1,34;c
JL-2018;D(7m);1,34;0;1,34;1,34;a
JL-2018;D(7m);4,02;0;4,02;4,02;b
JL-2018;D(7m);0,67;2,68;-2,01;3,35;c
JL-2018;D(14m);6,7;0;6,7;6,7;a
JL-2018;D(14m);4,02;0;4,02;4,02;b
JL-2018;D(14m);6,7;0;6,7;6,7;c
JL-2018;D(21m);4,02;0;4,02;4,02;a
JL-2018;D(21m);2,68;0,67;2,01;3,35;b
JL-2018;D(21m);4,02;0;4,02;4,02;c
JL-2018;D(28m);0;1,34;-1,34;1,34;a
JL-2018;D(28m);2,68;0;2,68;2,68;b
JL-2018;D(28m);0;1,34;-1,34;1,34;c
JL-2018;ctrl.Rod;5,36;0;5,36;5,36;a
JL-2018;ctrl.Rod;4,02;0;4,02;4,02;b
JL-2018;ctrl.Rod;6,03;0;6,03;6,03;c
AG-2018;B(0m);1,34;3,01;-1,67;4,35;a
AG-2018;B(0m);1,34;3,01;-1,67;4,35;b
AG-2018;B(0m);0,67;0,67;0;1,34;c
AG-2018;D(05m);1,34;2,01;-0,67;3,35;a
AG-2018;D(05m);0,67;1,34;-0,67;2,01;b
AG-2018;D(05m);0,67;2,68;-2,01;3,35;c
AG-2018;D(1m);1,34;0;1,34;1,34;a
AG-2018;D(1m);4,02;0,67;3,35;4,69;b
AG-2018;D(1m);3,35;0;3,35;3,35;c
AG-2018;D(7m);1,34;0,67;0,67;2,01;a
AG-2018;D(7m);4,02;0;4,02;4,02;b
AG-2018;D(7m);3,35;2,01;1,34;5,36;c
AG-2018;D(14m);10,72;0;10,72;10,72;a
AG-2018;D(14m);6,7;0,67;6,03;7,37;b
AG-2018;D(14m);10,72;0;10,72;10,72;c
AG-2018;D(21m);4,02;0;4,02;4,02;a
AG-2018;D(21m);5,36;0,67;4,69;6,03;b
AG-2018;D(21m);4,02;0;4,02;4,02;c
AG-2018;D(28m);3,35;0;3,35;3,35;a
AG-2018;D(28m);2,01;1,34;0,67;3,35;b
AG-2018;D(28m);1,34;2,68;-1,34;4,02;c
AG-2018;ctrl.Rod;6,7;0;6,7;6,7;a
AG-2018;ctrl.Rod;9,38;0;9,38;9,38;b
AG-2018;ctrl.Rod;6,03;0;6,03;6,03;c
